author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609577/;Котельники;sale;flat;2;16;1;40.0;5280000;2025;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, черновая, чистовая;11,8 м²;12,7 м²;+78612055786;;;;;Зеленодар
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306008768/;Котельники;sale;flat;22;53;3;153.0;167970000;-1;-1;-1;-1;-1;-1;10 м²;+79154194704;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Ойкумена;developer;https://kaliningrad.cian.ru/sale/flat/303061989/;Котельники;sale;flat;2;4;2;67.6;8112000;2025;-1;Монолитно-кирпичный, кирпичный;-1;Без отделки, предчистовая;25,1 м²;19,6 м²;+74012658318;Ленинградский;Ключевая ;;;Сиреневый бульвар
Edelweiss;developer;https://vladivostok.cian.ru/sale/flat/302518905/;Котельники;sale;flat;5;22;2;62.7;14721000;2027;-1;Монолитно-кирпичный;-1;Без отделки;22,1 м²;21,4 м²;+74232023496;Первомайский;Кизлярская ;;;Edelweiss Золотой Рог
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297359672/;Котельники;sale;flat;7;21;4;137.0;150000000;-1;-1;-1;-1;-1;-1;25 м²;+79057122519;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;
BrokerStreet;representative_developer;https://kaliningrad.cian.ru/sale/flat/306559291/;Котельники;sale;flat;2;4;2;74.53;17300000;2026;-1;-1;-1;Предчистовая;-1;-1;+74012658161;Светлогорск; Нахимова;;;Палатиум
AVA;developer;https://krasnodar.cian.ru/sale/flat/307879812/;Котельники;sale;flat;4;21;1;51.13;6478171;2025;-1;-1;-1;Без отделки;29,5 м²;10 м²;+78612059144;мкр. ХБК;Уральская ;100/8;;Режиссёр
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304825409/;Котельники;sale;flat;19;21;4;141.0;190000000;-1;-1;-1;-1;-1;97 м²;25 м²;+79057122519;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106356/;Котельники;sale;flat;6;7;2;96.0;260000000;2014;-1;-1;-1;-1;-1;7 м²;+79684858420;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308179318/;Котельники;sale;flat;10;12;2;65.0;17200000;-1;-1;-1;-1;-1;-1;10 м²;+79189427457;Хостинский; Возрождения;22;;
ЧФК;developer;https://krasnodar.cian.ru/sale/flat/294765804/;Котельники;sale;flat;13;20;1;50.9;6362500;2020;-1;-1;-1;Чистовая;-1;-1;+78612058349;Имени Демьяна Бедного жилмассив; Степная;1/1;;Мозаика
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/306891567/;Котельники;sale;flat;9;12;-1;48.0;10350000;-1;-1;-1;-1;-1;36 м²;10 м²;+79676529815;Центральный; Цюрупы;13Д;;
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/307869945/;Котельники;sale;flat;19;25;1;36.3;5300000;2020;-1;-1;-1;-1;18 м²;11 м²;+79647911582;; Яганова;9;Щёлковская;Пехра
ID 27200535;homeowner;https://solnechnogorsk.cian.ru/sale/flat/308523231/;Котельники;sale;flat;2;5;2;50.0;6600000;1978;-1;-1;-1;-1;37 м²;8,5 м²;+79104369841;;;;;
Tekta Group;developer;https://www.cian.ru/sale/flat/301261798/;Котельники;sale;flat;31;34;1;39.2;21904960;2025;-1;Монолитный;-1;Без отделки, предчистовая;15,4 м²;-1;+74951387095;Обручевский;;;Воронцовская;Эвер ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/291208113/;Котельники;sale;flat;20;22;-1;200.0;148900000;2019;-1;-1;-1;-1;-1;30 м²;+79168080401;Хорошево-Мневники;Живописная ;21А;Серебряный Бор;Дом Серебряный Бор
