author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
МилДом;real_estate_agent;https://voskresensk.cian.ru/sale/flat/308890747/;Воскресенск;sale;flat;3;5;1;16.5;1950000;-1;-1;-1;-1;-1;-1;-1;+79152861434;Лопатинский мкр; Комсомольская;17;;
АЯКС Воскресенск;real_estate_agent;https://voskresensk.cian.ru/sale/flat/308415996/;Воскресенск;sale;flat;5;5;1;31.0;3199000;-1;-1;-1;-1;-1;19 м²;6 м²;+79660537512;; Калинина;52;Выхино;
Maitre Rochet - Сто ключей на Менделеева;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305586754/;Воскресенск;sale;flat;4;5;1;17.4;1800000;-1;-1;-1;-1;-1;11,5 м²;-1;+79663727817;Центральный мкр; Менделеева;17к2;;
Maitre Rochet - Сто ключей на Менделеева;real_estate_agent;https://voskresensk.cian.ru/sale/flat/298141495/;Воскресенск;sale;flat;9;14;2;53.0;6300000;-1;-1;-1;-1;-1;35 м²;12 м²;+79663727817;Центральный мкр; Куйбышева;47Ак3;;
МилДом;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305575007/;Воскресенск;sale;flat;1;5;3;59.0;3100000;-1;-1;-1;-1;-1;46 м²;6 м²;+79152861434;Воскресенск;Московская ;21б;;
Этажи Воскресенск-Раменское;real_estate_agent;https://voskresensk.cian.ru/sale/flat/308360310/;Воскресенск;sale;flat;2;5;1;32.2;3250000;1971;-1;-1;-1;-1;18 м²;7 м²;+79660624676;Новлянский мкр; Энгельса;3;;
Сто Ключей - офис Воскресенск. ул.Менделеева д.1;real_estate_agent;https://voskresensk.cian.ru/sale/flat/307986342/;Воскресенск;sale;flat;2;5;3;55.5;6200000;-1;-1;-1;-1;-1;44,5 м²;6 м²;+79162101904;Центральный мкр; Менделеева;15;;
МилДом;real_estate_agent;https://voskresensk.cian.ru/sale/flat/262898472/;Воскресенск;sale;flat;2;9;3;63.0;5700000;1976;-1;-1;-1;-1;38 м²;9,3 м²;+79152861434;Новлянский мкр; Зелинского;3Б;;
Миэль Воскресенск;real_estate_agent;https://voskresensk.cian.ru/sale/flat/278143783/;Воскресенск;sale;flat;2;17;2;74.0;8800000;2009;-1;-1;-1;-1;39 м²;13 м²;+79660621089;; Зелинского;10А;Котельники;на ул. Кагана
Maitre Rochet - Сто ключей на Менделеева;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305630096/;Воскресенск;sale;flat;5;5;1;33.1;3600000;-1;-1;-1;-1;-1;18 м²;8 м²;+79663727817;Москворецкий мкр; Спартака;20;;
ID 78927678;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305334863/;Воскресенск;sale;flat;1;9;2;57.0;5300000;-1;-1;-1;-1;-1;-1;-1;+79654223641;Новлянский мкр; Зелинского;8;;
Maitre Rochet - Сто ключей на Менделеева;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305723364/;Воскресенск;sale;flat;1;5;2;46.2;3350000;-1;-1;-1;-1;-1;31 м²;6 м²;+79663727817;; Спартака;18;Выхино;
Этажи Воскресенск-Раменское;real_estate_agent;https://voskresensk.cian.ru/sale/flat/308360528/;Воскресенск;sale;flat;1;9;2;44.0;4500000;1974;-1;-1;-1;-1;-1;6 м²;+79168234595;Новлянский мкр; Новлянская;12А;;
Сто Ключей - офис Воскресенск. ул.Менделеева д.1;real_estate_agent;https://voskresensk.cian.ru/sale/flat/294446431/;Воскресенск;sale;flat;2;4;4;99.6;9700000;-1;-1;-1;-1;-1;66 м²;10 м²;+79162101904;Центральный мкр; Октябрьская;2;;
