author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Средастрой Новороссийск;developer;https://novorossiysk.cian.ru/sale/flat/307130577/;Зарайск;sale;flat;2;17;2;58.66;13198500;2025;-1;-1;-1;Без отделки;29,7 м²;12,9 м²;+78612058479;;;;;Золотой берег 2
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Зарайск;sale;flat;2;21;2;57.23;59000000;2023;-1;-1;-1;-1;-1;7 м²;+79660544755;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304689665/;Зарайск;sale;flat;5;6;5;247.7;285000000;1912;-1;-1;-1;-1;-1;21,9 м²;+79660629678;Пресненский;Никитский бульвар;15/16;Арбатская;
Неометрия;developer;https://krasnodar.cian.ru/sale/flat/308339502/;Зарайск;sale;flat;21;22;1;34.4;5105550;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;11,6 м²;9,9 м²;+78612059414;Прикубанский; Конгрессная;43;;Отражение
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308753165/;Зарайск;sale;flat;6;11;4;168.3;249000000;2012;-1;-1;-1;-1;-1;20 м²;+79168080401;Хамовники;2-я Фрунзенская ;8;Фрунзенская;Андреевский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299611000/;Зарайск;sale;flat;21;36;3;86.5;48900000;-1;-1;-1;-1;-1;64 м²;12 м²;+79163255607;Хорошево-Мневники;Шелепихинская набережная;34к1зд5;Шелепиха;Сердце Столицы
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/303395042/;Зарайск;sale;flat;2;25;1;30.4;6288000;2025;-1;-1;-1;Чистовая;10,6 м²;8,6 м²;+73432260767;Орджоникидзевский;;;Машиностроителей;Основинские кварталы ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Зарайск;sale;flat;9;18;2;66.4;69700000;2026;-1;-1;-1;-1;-1;10 м²;+79645660140;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/298324265/;Зарайск;sale;flat;2;7;3;97.1;43900000;1940;-1;-1;-1;-1;-1;15 м²;+79660641529;Донской;Ленинский проспект;35;Ленинский проспект;
ПАРК АВЕНЮ;developer;https://krasnodar.cian.ru/sale/flat/307199095/;Зарайск;sale;flat;3;6;2;45.4;5902000;2024;-1;-1;-1;Без отделки;23,3 м²;8,2 м²;+78612057032;Горячий Ключ; Ярославского;100В;;Ярославский
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Зарайск;sale;flat;3;9;3;148.5;189000000;-1;-1;-1;-1;-1;118 м²;-1;+79853420387;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/308830155/;Зарайск;sale;flat;6;10;1;31.7;7340000;2023;-1;-1;-1;-1;-1;12 м²;+79183228159;Хостинский; Мацестинская;17/1;;
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/297298593/;Зарайск;sale;flat;2;17;2;52.68;6460000;2024;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;22,5 м²;14,3 м²;+73452658417;д. Патрушева; Петра Ершова;12;;ЖР 
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306791585/;Зарайск;sale;flat;6;10;-1;190.5;197000000;-1;-1;-1;-1;-1;110 м²;27,5 м²;+79660623833;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307113534/;Зарайск;sale;flat;16;19;2;45.8;32000000;2018;-1;-1;-1;-1;-1;7 м²;+79031354467;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
Эталон;developer;https://ekb.cian.ru/sale/flat/308414252/;Зарайск;sale;flat;11;16;2;47.1;6579206;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;21,7 м²;12,4 м²;+73432267543;Чкаловский;;;Ботаническая;Жилой район Солнечный
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307940357/;Зарайск;sale;flat;47;47;4;131.9;59355000;2021;-1;-1;-1;-1;-1;15 м²;+79165685817;Бутырский;Новодмитровская ;2к5;Дмитровская;Савеловский Сити
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Зарайск;sale;flat;10;10;1;38.5;11280000;1994;-1;-1;-1;-1;20,7 м²;8,4 м²;+79660479909;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
DOGMA;developer;https://krasnodar.cian.ru/sale/flat/305421053/;Зарайск;sale;flat;2;18;1;38.3;5162840;2025;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая, чистовая с мебелью;12,3 м²;12,6 м²;+78612055818;;;;;Парк Победы - 2
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Зарайск;sale;flat;7;18;3;89.7;98000000;2026;-1;-1;-1;-1;-1;10 м²;+79175343915;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Зарайск;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Феликс;real_estate_agent;https://www.cian.ru/sale/flat/283840624/;Зарайск;sale;flat;3;13;3;149.2;68000000;2001;-1;-1;-1;-1;-1;-1;+79157003268;Тверской;Долгоруковская ;6;Новослободская;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/306203300/;Зарайск;sale;flat;6;23;4;146.5;55299000;-1;-1;-1;-1;-1;81,5 м²;17,8 м²;+79895711614;Кунцево; Екатерины Будановой;5;Рабочий посёлок;Катрин-Хаус
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/299881286/;Зарайск;sale;flat;7;7;4;283.4;500000000;2018;-1;-1;-1;-1;103 м²;10 м²;+79660623375;Пресненский;Электрический переулок;10;Белорусская;Edison House
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308789684/;Зарайск;sale;flat;7;9;-1;25.0;9500000;2021;-1;-1;-1;-1;19 м²;-1;+79189427457;Хостинский;Курортный проспект;96Гк1;;Моравия
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872984/;Зарайск;sale;flat;24;36;3;82.4;75000000;-1;-1;-1;-1;-1;55 м²;7 м²;+79165694109;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
