author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306079971/;Дедовск;sale;flat;15;20;2;79.4;29870000;2024;-1;-1;-1;Без отделки;47,4 м²;11 м²;+79636236030;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/305097068/;Дедовск;sale;flat;4;13;3;82.9;43000000;2022;-1;-1;-1;-1;36,5 м²;26,3 м²;+79031355942;Раменки;Винницкая ;8к2;Раменки;Настоящее
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/304320156/;Дедовск;sale;flat;36;40;3;110.0;46500000;2012;-1;-1;-1;-1;60 м²;11,5 м²;+79653835431;Кунцево;Рублевское шоссе;107;Молодёжная;Рублевские Огни
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306360333/;Дедовск;sale;flat;6;37;3;76.0;47500000;2023;-1;-1;-1;-1;30 м²;20 м²;+79623697268;Беговой;Северный ао;К2;Белорусская;Слава ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307783036/;Дедовск;sale;flat;8;12;3;94.6;57000000;2001;-1;-1;-1;-1;-1;10 м²;+79031354467;Якиманка;Конный переулок;4;Шаболовская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106332/;Дедовск;sale;flat;4;8;3;69.8;65823293;1941;-1;-1;-1;-1;45 м²;8 м²;+79684858420;Хамовники;Смоленский бульвар;22/14;Смоленская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Дедовск;sale;flat;24;79;1;72.0;70000000;2019;-1;-1;-1;-1;50 м²;15 м²;+79099734492;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ID 13943959;unknown;https://www.cian.ru/sale/flat/303371909/;Дедовск;sale;flat;29;29;4;105.0;70000000;2022;-1;-1;-1;-1;-1;-1;+79654203102;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306063534/;Дедовск;sale;flat;7;20;4;178.0;77000000;-1;-1;-1;-1;-1;-1;10 м²;+79057198567;Черемушки;Новочеремушкинская ;44К3;Профсоюзная;Адмирал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/291590051/;Дедовск;sale;flat;3;11;3;110.4;99000000;2012;-1;-1;-1;-1;-1;20 м²;+79684858420;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
