author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298547671/;Куровское (Московская);sale;flat;4;22;2;66.0;34500000;2020;-1;-1;-1;-1;-1;27 м²;+79647824726;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293666231/;Куровское (Московская);sale;flat;20;43;3;84.2;37500000;2023;-1;-1;-1;-1;-1;-1;+79623620296;Хорошево-Мневники;Шелепихинская набережная;34к7;Шелепиха;Сердце Столицы
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/294618539/;Куровское (Московская);sale;flat;3;14;3;72.0;38000000;2023;-1;-1;-1;-1;50 м²;10 м²;+79031355942;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/266015434/;Куровское (Московская);sale;flat;6;38;3;130.0;51000000;-1;-1;-1;-1;-1;-1;-1;+79169862459;Ростокино;проспект Мира;188Бк4;Ростокино;Триколор
Яна Калашникова;realtor;https://www.cian.ru/sale/flat/308435463/;Куровское (Московская);sale;flat;16;18;3;125.0;51490000;2003;-1;-1;-1;-1;85 м²;20 м²;+79660586559;Аэропорт;Ленинградский проспект;76К2;Сокол;Соколиное гнездо
Стадион Спартак;developer;https://www.cian.ru/sale/flat/277489607/;Куровское (Московская);sale;flat;3;22;2;80.7;51341340;2024;-1;Монолитный;-1;Без отделки;29,5 м²;13,2 м²;+74951387190;Покровское-Стрешнево;Россини кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303571749/;Куровское (Московская);sale;flat;43;58;-1;165.0;58450000;2014;-1;-1;-1;-1;-1;40 м²;+79169862459;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/295096926/;Куровское (Московская);sale;flat;8;8;4;184.5;70000000;2016;-1;-1;-1;-1;100 м²;20 м²;+79660587093;Даниловский;2-й Павелецкий проезд;5С1;Крестьянская застава;RIVERDALE APARTMENTS
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/292773654/;Куровское (Московская);sale;flat;3;9;4;130.0;205000000;2021;-1;-1;-1;-1;-1;10 м²;+79645656034;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295203875/;Куровское (Московская);sale;flat;2;9;5;162.0;265500000;-1;-1;-1;-1;-1;115 м²;14 м²;+79672093665;Арбат; Малая Молчановка;8С1;Арбатская;
Основа;developer;https://www.cian.ru/sale/flat/293623782/;Куровское (Московская);sale;flat;15;28;3;50.4;20910960;2027;-1;Монолитный;-1;Без отделки, черновая;42,6 м²;2,8 м²;+74951370083;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/301980497/;Куровское (Московская);sale;flat;3;8;3;119.4;39402000;2007;-1;-1;-1;-1;63 м²;17 м²;+79052308424;Петроградский; Графтио;5;Петроградская;
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308303447/;Куровское (Московская);sale;flat;13;25;2;51.3;11000000;2020;-1;-1;-1;-1;27,4 м²;10,6 м²;+79150877034;; Весенняя;12;Лухмановская;Люберецкий
МЕТРЫ;real_estate_agent;https://spb.cian.ru/sale/flat/300552233/;Куровское (Московская);sale;flat;3;6;1;20.3;5900000;1879;-1;-1;-1;-1;-1;-1;+79119507721;Центральный; Марата;40;Владимирская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300543381/;Куровское (Московская);sale;flat;6;6;-1;556.4;400000000;2016;-1;-1;-1;-1;-1;20 м²;+79645659607;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/228935891/;Куровское (Московская);sale;flat;5;6;-1;375.0;412500000;2018;-1;-1;-1;-1;-1;-1;+79150114761;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Куровское (Московская);sale;flat;17;25;1;36.8;9900000;1982;-1;-1;-1;-1;18 м²;9 м²;+79099977805;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
