author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/299881286/;Озёры;sale;flat;7;7;4;283.4;500000000;2018;-1;-1;-1;-1;103 м²;10 м²;+79660623375;Пресненский;Электрический переулок;10;Белорусская;Edison House
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308789684/;Озёры;sale;flat;7;9;-1;25.0;9500000;2021;-1;-1;-1;-1;19 м²;-1;+79189427457;Хостинский;Курортный проспект;96Гк1;;Моравия
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308621192/;Озёры;sale;flat;7;8;1;33.0;9800000;2012;-1;-1;-1;-1;26 м²;-1;+79189427457;Адлерский; Герцена;3;;
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308931688/;Озёры;sale;flat;5;6;1;35.0;10100000;2015;-1;-1;-1;-1;-1;18 м²;+79189427457;Адлерский;переулок Демократический;4;;
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308344038/;Озёры;sale;flat;5;6;1;40.0;11500000;2015;-1;-1;-1;-1;32 м²;-1;+79189427457;Адлерский; Ленина;172;;
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308146438/;Озёры;sale;flat;4;4;2;40.0;11500000;-1;-1;-1;-1;-1;-1;9 м²;+79189427457;Адлерский; Медовая;80А;;
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308135893/;Озёры;sale;flat;7;17;1;30.0;11700000;2018;-1;-1;-1;-1;-1;-1;+79189427457;Адлерский; Гастелло;27Б;;Адлер
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308334071/;Озёры;sale;flat;6;8;1;40.0;12700000;2012;-1;-1;-1;-1;30 м²;-1;+79189427457;Центральный; Крымская;77;;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872984/;Озёры;sale;flat;24;36;3;82.4;75000000;-1;-1;-1;-1;-1;55 м²;7 м²;+79165694109;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Неометрия;developer;https://sochi.cian.ru/sale/flat/291312233/;Озёры;sale;flat;1;17;2;44.4;18679080;2027;-1;-1;-1;Чистовая;22 м²;10,4 м²;+78612059303;Адлерский;;;;Лестория
