author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
VESPER;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская;Маяковская;Vesper Tverskaya
ID 12530791;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;2020;-1;-1;+79651189398;Пресненский;1-й Красногвардейский проезд;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;1969;19.0;9.0;+79152322394;Богородское;1-я Гражданская;Преображенская площадь;
VESPER;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;2023;18.0;24.0;+74951347641;Пресненский;Костикова;Улица 1905 года;Lucky
ID 85604823;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;2023;15.0;12.0;+79647714670;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;1972;17.0;7.0;+79163568699;Чертаново Южное;3-й Дорожный проезд;Улица Академика Янгеля;
Главстрой;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;2024;16.0;14.0;+74951379308;Филевский парк;Береговой проезд;Фили;Береговой-2
ID 85604823;https://www.cian.ru/sale/flat/307014462/;Москва;sale;flat;6;42;1;42.0;29000000;2023;17.0;11.0;+79647714670;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
ID 123328834;https://www.cian.ru/sale/flat/308676848/;Москва;sale;flat;6;14;1;36.0;13700000;1976;20.0;10.0;+79857951868;Перово;Мартеновская;Новогиреево;
Галс-Девелопмент;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;26.0;7.0;+74951387097;Басманный;Фридриха Энгельса;Бауманская;Дом 56
White and Broughton;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;2021;23.0;4.0;+79646331510;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
ХОРЕКА ИНВЕСТ;https://www.cian.ru/sale/flat/306951824/;Москва;sale;flat;5;21;1;21.66;5500000;2020;16.0;4.0;+79150355249;Тропарево-Никулино;Востряковское шоссе;Озёрная;Комплекс апартаментов CITIMIX
MR Group;https://www.cian.ru/sale/flat/300288940/;Москва;sale;flat;37;54;1;38.99;19328123;2025;13.0;-1;+74951374843;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
White and Broughton;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;2021;23.0;4.0;+79646331510;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Парадайс;https://www.cian.ru/sale/flat/308825799/;Москва;sale;flat;8;9;1;32.5;10800000;1966;17.0;7.0;+79801443843;Тимирязевский;Костякова;Дмитровская;
Галс-Девелопмент;https://www.cian.ru/sale/flat/308081007/;Москва;sale;flat;4;6;1;50.2;57228000;2024;12.0;23.0;+74951387122;Замоскворечье;Космодамианская набережная;Новокузнецкая;Клубный дом Космо 4/22
Contact Real Estate;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;2023;39.0;15.0;+79057122519;Пресненский;Костикова;Улица 1905 года;Lucky
ХОРЕКА ИНВЕСТ;https://www.cian.ru/sale/flat/300522888/;Москва;sale;flat;4;5;1;14.4;3450000;1930;10.0;4.0;+79851608598;Перово;2-я Энтузиастов;Авиамоторная;
Среда;https://www.cian.ru/sale/flat/304753663/;Москва;sale;flat;2;44;1;31.61;14381127;2027;9.0;-1;+74951387079;Кунцево;48-й кв-л;Кунцевская;Кутузовский Квартал ЖК
ZIP Realty;https://www.cian.ru/sale/flat/303387198/;Москва;sale;flat;18;22;1;30.0;11700000;2023;13.0;10.0;+79661932682;;;Рассказовка;
Mikhail Uger;https://www.cian.ru/sale/flat/304113525/;Москва;sale;flat;17;25;1;36.8;9900000;1982;18.0;9.0;+79099977805;Чертаново Северное;Северное Чертаново мкр;Чертановская;
