author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/300341884/;Щёлково;sale;flat;14;20;3;109.0;16132000;2023;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;58,6 м²;-1;+74951370495;;Советская ;60;Первомайская;River House
Этажи Москва;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/308957613/;Щёлково;sale;flat;4;9;3;60.2;7200000;Напишите автору;-1;-1;-1;-1;-1;7,1 м²;+79645387214;;Талсинская ;2;Щёлковская;
Марина Королева;realtor;https://shchyolkovo.cian.ru/sale/flat/308958132/;Щёлково;sale;flat;2;9;3;65.8;9500000;1983;-1;-1;-1;-1;42 м²;9 м²;+79645387255;; Гагарина;5;Щёлковская;
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/280751799/;Щёлково;sale;flat;19;20;3;122.8;18665600;2023;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;72 м²;-1;+74951370495;;Советская ;60;Первомайская;River House
WHITE BROKER;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/308278655/;Щёлково;sale;flat;6;9;3;99.3;13500000;2013;-1;-1;-1;-1;54 м²;16 м²;+79153026346;; 8 Марта;25;Щёлковская;Дом на Московской
АЛГА;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/298788474/;Щёлково;sale;flat;2;9;3;64.0;9199000;1984;-1;-1;-1;-1;41 м²;9 м²;+79067944183;;Краснознаменская ;3;Щёлковская;
ОГРК;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307218502/;Щёлково;sale;flat;10;17;3;70.0;7750000;-1;-1;-1;-1;-1;34,3 м²;14 м²;+79672089940;;;1;Первомайская;Финский
Оранж;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/308416216/;Щёлково;sale;flat;5;14;3;87.0;13735000;2024;-1;-1;-1;-1;60 м²;14 м²;+79647864718;;Центральная ;16к1;Щёлковская;Центральный (Щелково)
Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307229342/;Щёлково;sale;flat;13;14;3;62.41;8500000;1982;-1;-1;-1;-1;45 м²;10 м²;+79660643274;;Талсинская ;2а;Щёлковская;
Тёплый Дом;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/301298412/;Щёлково;sale;flat;3;5;3;53.9;6449999;-1;-1;-1;-1;-1;42,9 м²;6 м²;+79645194765;; Циолковского;3;Щёлковская;
ID 13519290;realtor;https://shchyolkovo.cian.ru/sale/flat/305263179/;Щёлково;sale;flat;7;9;3;63.8;7900000;1994;-1;-1;-1;-1;42 м²;9 м²;+79167410611;;Заречная ;5;Щёлковская;
