author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/308241472/;Егорьевск;sale;flat;3;9;3;72.0;6200000;-1;-1;-1;-1;-1;44 м²;9 м²;+79857435984;;;;;
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/305904877/;Егорьевск;sale;flat;3;5;3;57.0;4250000;1970;-1;-1;-1;-1;41 м²;6 м²;+79857435984;;;;;
Самолет Плюс Егорьевск;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/305684420/;Егорьевск;sale;flat;1;2;3;58.0;2200000;-1;-1;-1;-1;-1;47 м²;6 м²;+79660533896;Егорьевск;Новая ;1/26;;
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/305041806/;Егорьевск;sale;flat;10;13;3;74.0;8700000;2014;-1;-1;-1;-1;54 м²;12 м²;+79857435984;;;;;Европейский
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/302381928/;Егорьевск;sale;flat;1;5;3;69.0;4600000;1978;-1;-1;-1;-1;44 м²;9 м²;+79857435984;Егорьевск;Касимовское шоссе;21;;
Олеся Дырдина;realtor;https://yegoryevsk.cian.ru/sale/flat/308751444/;Егорьевск;sale;flat;6;9;3;67.0;5200000;-1;-1;-1;-1;-1;40 м²;8,7 м²;+79692825317;;;;;
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/299720394/;Егорьевск;sale;flat;2;3;3;79.0;6950000;2016;-1;-1;-1;-1;46 м²;14 м²;+79857435984;;;;;
Ваше Подмосковье;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/306253543/;Егорьевск;sale;flat;5;5;3;66.0;5000000;1996;-1;-1;-1;-1;40 м²;10 м²;+79857435984;Егорьевск;Октябрьская ;63/8;;
Maitre Rochet Сто ключей - офис 2;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/299293770/;Егорьевск;sale;flat;2;3;3;65.0;3300000;-1;-1;-1;-1;-1;38 м²;6 м²;+79645660189;Егорьевск; Островского;27;;
DOKI Недвижимость;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/301934484/;Егорьевск;sale;flat;5;9;3;60.0;6000000;1983;-1;-1;-1;-1;39 м²;8 м²;+79663061176;Егорьевск;Советская ;185;;
Maitre Rochet Сто ключей - офис 2;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/308502362/;Егорьевск;sale;flat;3;5;3;72.0;6150000;1986;-1;-1;-1;-1;42 м²;9 м²;+79645660189;;;;;
Maitre Rochet Сто ключей - офис 2;real_estate_agent;https://yegoryevsk.cian.ru/sale/flat/297195305/;Егорьевск;sale;flat;1;3;3;66.9;4250000;-1;-1;-1;-1;-1;43 м²;9 м²;+79645660189;Егорьевск;Красная ;49Б;;
