author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Метражи group;real_estate_agent;https://www.cian.ru/sale/flat/308167237/;Москва;sale;flat;5;7;1;34.6;9000000;1978;-1;-1;-1;-1;18 м²;8 м²;+79850413268;Северное Измайлово;15-я Парковая ;54;Щёлковская;
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/302263383/;Москва;sale;flat;14;45;1;41.3;12800000;2026;-1;-1;-1;Без отделки;20 м²;11 м²;+79645589720;Нижегородский;Перовское шоссе;;Нижегородская;Level Нижегородская
Stenoy;developer;https://www.cian.ru/sale/flat/300878920/;Москва;sale;flat;10;12;1;34.4;19372498;2026;-1;Монолитно-кирпичный;-1;Без отделки, черновая, чистовая;11,8 м²;11,7 м²;+74997155851;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298254403/;Москва;sale;flat;4;33;1;42.9;23600000;-1;-1;-1;-1;-1;22,9 м²;15 м²;+79651883932;Останкинский; Годовикова;11к2;Алексеевская;iLove
Зиля Карамова;realtor;https://www.cian.ru/sale/flat/263316279/;Москва;sale;flat;1;16;1;37.7;9450000;1982;-1;-1;-1;-1;-1;-1;+79160939190;Чертаново Центральное;Варшавское шоссе;142К2;Пражская;
STONE;developer;https://www.cian.ru/sale/flat/305914270/;Москва;sale;flat;2;24;1;32.6;16906360;2027;-1;Монолитно-кирпичный;-1;Без отделки;18,8 м²;-1;+74997057291;Сокольники; Гастелло;;Сокольники;Sokolniki
Омега-Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/303983520/;Москва;sale;flat;13;17;1;37.6;11000000;2018;-1;-1;-1;-1;17,6 м²;15 м²;+79852430597;; Бачуринская;7к2;Бачуринская;Новая Звезда
MR Group;developer;https://www.cian.ru/sale/flat/308309936/;Москва;sale;flat;46;48;1;33.7;15478241;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;10,1 м²;-1;+74951346365;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/307043068/;Москва;sale;flat;9;28;1;34.7;14500000;2023;-1;-1;-1;-1;9,1 м²;14,2 м²;+79153499386;Богородское;Открытое шоссе;14Д;Бульвар Рокоссовского;Талисман на Рокоссовского
ASTERUS;developer;https://www.cian.ru/sale/flat/306225030/;Москва;sale;flat;2;18;1;34.8;15834000;2028;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;11,7 м²;13 м²;+74951387034;Покровское-Стрешнево;;;Тушинская;ÁLIA
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/297087850/;Москва;sale;flat;51;75;1;123.0;85000000;-1;-1;-1;-1;-1;69 м²;15 м²;+79660611022;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/309128668/;Москва;sale;flat;5;9;1;34.1;10990000;1970;-1;-1;-1;-1;17,1 м²;8,1 м²;+79661092921;Чертаново Центральное;Чертановская ;29К2;Пражская;
А101;developer;https://www.cian.ru/sale/flat/306745759/;Москва;sale;flat;5;17;1;33.0;7582202;2025;-1;-1;-1;Без отделки;11,8 м²;10,6 м²;+74951344536;;;7.1;Бунинская аллея;Бунинские Кварталы ЖК
STONE;developer;https://www.cian.ru/sale/flat/305914382/;Москва;sale;flat;4;28;1;47.4;20443620;2027;-1;Монолитно-кирпичный;-1;Без отделки;17,9 м²;-1;+74997057291;Сокольники; Матросская Тишина;1А;Сокольники;Sokolniki
А101;developer;https://www.cian.ru/sale/flat/306741319/;Москва;sale;flat;2;16;1;37.5;20328519;2025;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;13,5 м²;10,7 м²;+74951379043;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/301859610/;Москва;sale;flat;13;24;1;36.8;17750000;-1;-1;-1;-1;-1;11,4 м²;17,7 м²;+79672092511;Донской;;к3;Верхние котлы;Новоданиловская 8 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303818206/;Москва;sale;flat;5;17;1;50.2;34900000;2024;-1;-1;-1;-1;16,1 м²;16,8 м²;+79660644148;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
